ID_Sankce,ID_kontroly,Vyse_pokuty,Zákon,Paragraf,Datum_nabyti_Pravni_Moci
62407,311207300604301,0,Zák. 634/1992,§7a,12/13/2012
62408,311207300604301,10000,Zák. 634/1992,§7a,12/13/2012
62409,271212120506101,1000,Zák. 22/1997,nebyl přeložen návod,12/12/2012
62410,271212130506101,1000,Zák. 22/1997,nepřeložen návod,12/13/2012
62411,271212140506101,1000,Zák. 22/1997,nepřeložen návod,12/14/2012
62412,271212170506101,1000,Zák. 22/1997,nepřeložen návod,12/17/2012
62413,301212040704101,2000,Zák. 634/1992,čl.15odst.3 ve spojení s čl.16,12/18/2012
62414,301212180006401,1000,Zák. 634/1992,§ 12 odst. 1,12/18/2012
62416,101206150019801,0,Zák. 634/1992,§ 12-1; § 13,3/30/2013
62417,251212170007602,1000,Zák. 64/1986,§ 9 odst.1 písm.a),12/17/2012
62418,401212070556401,1000,Zák. 64/1986,§ 9/1a),12/7/2012
62419,401212050556402,1000,Zák. 64/1986,§ 9/1a),12/5/2012
62420,271208130506502,90000,Zák. 311/2006,§3,12/5/2012
62421,221207170028701,1000,Zák. 22/1997,§ 13 (9),10/3/2012
62422,301212110702801,1000,Zák. 64/1986,§ 9 odst. 1 písm. a),12/11/2012
62423,301212140022101,1000,Zák. 64/1986,§ 9 odst. 1 písm. a),12/14/2012
62424,301212170022101,1000,Zák. 64/1986,§ 9 odst. 1 písm. a),12/17/2012
62425,301212140702801,1000,Zák. 64/1986,§ 9 odst. 1 a),12/14/2012
62426,301212170702801,2000,Zák. 634/1992,§ 19 odst. 1,12/17/2012
62427,301211200022001,1000,Zák. 634/1992,4 odst. 3 / 5 odst. 1 písm. a,12/12/2012
62428,101212120022301,1000,Zák. 22/1997,bez označení CE,12/12/2012
62429,401212120030301,1000,Zák. 64/1986,§ 9/1a),12/12/2012
62430,401212070030301,1000,Zák. 64/1986,§ 9/1a),12/7/2012
62431,101212109605501,1000,Zák. 22/1997,neoznačeno CE,12/10/2012
62432,301212180807101,1000,Zák. 634/1992,§ 3 pís. a),12/18/2012
62433,401212120550302,2000,Zák. 64/1986,§ 9/1a),12/12/2012
62434,301209200013801,2500,Zák. 634/1992,FALZA,2/8/2013
62435,401212110550301,1000,Zák. 634/1992,§ 16/1,12/11/2012
62436,101211198808801,1000,Zák. 22/1997,§ 13 odst. 9,12/19/2012
62437,401212140556401,1000,Zák. 634/1992,"§ 9/1, § 10/1a)",12/14/2012
62438,401212140556402,1000,Zák. 634/1992,§ 10/1a),12/17/2012
62439,401212120556403,1000,Zák. 634/1992,§ 10/1a),12/17/2012
62440,221212040203301,1000,Zák. 634/1992,"§ 19 ods.1,3,",12/11/2012
62441,101212118902101,2000,Zák. 22/1997,§ 19a odst. 1 písm. a),12/14/2012
62442,221212080253601,1000,Zák. 634/1992,"§ 9 ods.1,",12/8/2012
62443,401212130602502,2000,Zák. 634/1992,"§ 16/1, § 11",12/17/2012
62445,101212170912701,500,Zák. 64/1986,§9/1/a,12/10/2012
62446,241212190402801,1000,Zák. 634/1992,§3c,12/19/2012
62447,401212130551202,1000,Zák. 634/1992,§ 16/1,12/13/2012
62448,101208190014902,2000,Zák. 634/1992,§ 3a,1/5/2013
62449,301212180702101,1000,Zák. 634/1992,§ 10 odst. 1 písm.a),12/18/2012
62450,301212110700401,1000,Zák. 64/1986,§ 9 odst.1 písm. a),12/11/2012
62451,101208020009502,25000,Zák. 634/1992,"§ 3a, § 16-1",1/9/2013
62452,101211230955502,1000,Zák. 634/1992,§ 19 odst. 1,12/19/2012
62453,101208140014903,3000,Zák. 634/1992,§ 3a,1/1/2013
62454,301212110700402,1000,Zák. 64/1986,§ 9 odst.1 písm. a),12/11/2012
62455,221212090251103,1000,Zák. 634/1992,"§ 12 ods.1,",12/9/2012
62456,251212190301601,1000,Zák. 22/1997,§ 13 odst 9,12/19/2012
62458,251212170301603,1000,Zák. 634/1992,§ 9 a § 10,12/17/2012
62459,401212110558102,1000,Zák. 634/1992,§ 16/1,12/11/2012
62460,401212140558103,1000,Zák. 634/1992,§ 12/1,12/14/2012
62461,101212070014903,1000,Zák. 634/1992,§12 odst. 1,12/19/2012
62462,401212130558103,1000,Zák. 64/1986,§ 9/1a),12/13/2012
62463,101212120031303,1000,Zák. 634/1992,§ 12 odst.1,12/20/2012
62464,401212110557301,2000,Zák. 22/1997,§ 13/9,12/11/2012
62465,401212140557302,1000,Zák. 22/1997,§ 13/9,12/14/2012
62466,241212160027902,500,Zák. 634/1992,§ 16 odst.1,12/16/2012
62467,221208210029901,1000,Zák. 634/1992,§ 19 odst. 1,11/10/2012
62468,221208230253601,3000,Zák. 634/1992,"§ 9 ODST.1, § 11 ODST.1",11/9/2012
62469,221209060029902,10000,Zák. 634/1992,§ 3 PÍSM. A),11/13/2012
62470,221208290018601,5000,Zák. 634/1992,§ 12 ODST. 1,11/10/2012
62471,221209100025002,8000,Zák. 634/1992,§ 3 PÍSM. C),11/8/2012
62472,221209060016902,2000,Zák. 64/1986,§ 9 ODST. 1 PÍSM. A),11/9/2012
62473,221209070251301,10000,Zák. 353/2003,§ 107 ODST. 6,11/14/2012
62474,251212190028301,1000,Zák. 634/1992,§ 13,12/19/2012
62475,221212120251103,1000,Zák. 634/1992,"§ 3 pís.a,",12/12/2012
62476,101212190912101,1000,Zák. 634/1992,§ 16 odst.1,12/20/2012
62477,401212180557101,1000,Zák. 634/1992,§ 12/1,12/18/2012
62478,221212080252601,1000,Zák. 634/1992,"§ 12 ods.1,",12/8/2012
62479,221212130251102,1000,Zák. 634/1992,"§ 9 ods.1,10 ods.1 a,",12/13/2012
62480,401212190557802,1000,Zák. 634/1992,"§ 5/1 a)+c), § 13",12/19/2012
62481,101212120950503,1000,Zák. 634/1992,§ 11,12/20/2012
62482,221212040251801,2000,Zák. 22/1997,"§ 13 ods.9,",12/4/2012
62483,271212190506701,500,Zák. 634/1992,neseznámení s cenou,12/19/2012
62484,271212190506702,1000,Zák. 634/1992,§ 12/1,12/19/2012
62485,241212100400601,0,Zák. 634/1992,§19/3,12/19/2012
62486,241211050405601,500,Zák. 634/1992,"§19/1,3",12/17/2012
62487,101212190017102,1000,Zák. 22/1997,nedostatečné značení,12/19/2012
62488,241212190405601,1000,Zák. 634/1992,"§19/1,3",12/19/2012
62489,101212198205501,8000,Zák. 22/1997,porušení § 13 odst. 1 a 2,12/19/2012
62490,101212170017101,2000,Zák. 22/1997,značení,12/17/2012
62491,301212190017501,1000,Zák. 634/1992,§ 19,12/19/2012
62492,101212190017101,1000,Zák. 22/1997,značení,12/19/2012
62493,241211290405401,1000,Zák. 102/2001,§5/4,12/18/2012
62494,241211290406001,5000,Zák. 22/1997,§ 13 odst. 1,12/18/2012
62495,301212180703202,1000,Zák. 634/1992,§ 3 písm. a),12/18/2012
62496,241212170406001,1000,Zák. 22/1997,§ 13 odst. 1,12/17/2012
62497,241211020406001,5000,Zák. 22/1997,§ 13 odst. 9,12/17/2012
62498,241211020406001,2000,Zák. 102/2001,§ 4 odst. 4,12/17/2012
62499,271212200021001,500,Zák. 64/1986,§ 9 odst.3 zák. 64/1964 Sb. v,12/20/2012
62500,101212189253101,1000,Zák. 22/1997,značení výrobků,12/18/2012
62501,241211260028002,1000,Zák. 634/1992,§11 odst.1,12/19/2012
62502,241211270401101,1000,Zák. 634/1992,§11/1,12/20/2012
62503,101212059253101,2000,Zák. 22/1997,§13 odst. 9,12/5/2012
62504,221212090020802,10000,Zák. 22/1997,"§ 13 ods.9,",12/17/2012
62505,221212150020901,1000,Zák. 634/1992,"§ 9 ods.1,10 ods.1 a,",12/15/2012
62506,221212100253802,1000,Zák. 22/1997,"§ 13 ods.9,",12/10/2012
62507,221212100253801,1000,Zák. 22/1997,"§ 13 ods.9,",12/10/2012
62508,401208220551201,10000,Zák. 22/1997,§13/3,11/28/2012
62509,401208220558401,10000,Zák. 634/1992,§4/3,11/20/2012
62510,221211270253401,1000,Zák. 634/1992,§ 13,12/12/2012
62511,101208160911202,20000,Zák. 634/1992,3c,1/23/2013
62512,101208230907602,4000,Zák. 634/1992,3a,1/15/2013
62514,401210300013002,1000,Zák. 634/1992,§18/1,12/11/2012
62515,401210300013002,2000,Zák. 64/1986,§9/1a),12/11/2012
62516,401210250551202,3000,Zák. 634/1992,§10/1a),12/4/2012
62517,401210250602503,1000,Zák. 634/1992,§10/a),12/10/2012
62518,401210050558402,2000,Zák. 634/1992,"§12/1,18/1",12/13/2012
62519,401210030551201,10000,Zák. 22/1997,§13/3,12/13/2012
62520,401208070555602,8000,Zák. 634/1992,"§3a),12/1",12/19/2012
