ID_zakazu,ID_kontroly,Sortiment,Mnozstvi,Jednotka,Cena_celkem,Dle_zakona
69931,301201060702101,"Vybavení domácností ze skla, porcelánu, keramiky, mimo nádobí",1,kus,189,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69932,301201030704101,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",12,kus,1428,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69933,301201030704101,Oděvy speciálně pro děti a kojence,4,kus,1160,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69934,301201030704101,Oděvy speciálně pro děti a kojence,7,kus,1085,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69935,301201030704101,Oděvy speciálně pro děti a kojence,4,kus,796,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69936,301201030704101,Oděvy speciálně pro děti a kojence,5,kus,845,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69937,301201030704101,Oděvy speciálně pro děti a kojence,4,kus,940,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69938,301201030704101,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",17,kus,595,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69939,241201060405301,Hmotnostní měřidla v OBCHODNÍM STYKU (váhy),1,kus,0,64/1986 §7 odst 1b) - Inspektorský zákaz pro neověřená MĚŘIDLA
69940,301201040704101,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",8,kus,1440,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69941,301201040704101,Oděvy speciálně pro děti a kojence,4,kus,280,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69942,301201040704101,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",21,kus,3150,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69943,301201040704101,Oděvy speciálně pro děti a kojence,22,kus,2200,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69944,301201040704101,"Textil - oděvy a oděvní materiály, mimo výrobků pro děti",11,kus,2189,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69945,301201050704101,Oděvy speciálně pro děti a kojence,4,kus,200,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69946,301201050704101,Oděvy speciálně pro děti a kojence,6,kus,780,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69947,301201050704101,Oděvy speciálně pro děti a kojence,7,kus,910,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69948,301201050704101,Oděvy speciálně pro děti a kojence,7,kus,2030,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69949,301201050704101,Oděvy speciálně pro děti a kojence,5,kus,995,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69950,301201050704101,Oděvy speciálně pro děti a kojence,10,kus,2100,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69951,301201050704101,Oděvy speciálně pro děti a kojence,5,kus,950,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69952,301201050704101,Oděvy speciálně pro děti a kojence,6,kus,2220,64/1986 §7 odst 1a) - Inspektorský zákaz pro zboží neodpovídající zvláštním předpisům
69953,301201050009001,Délková měřidla,1,kus,0,64/1986 §7 odst 1b) - Inspektorský zákaz pro neověřená MĚŘIDLA
69954,301201069808901,Délková měřidla,1,kus,0,64/1986 §7 odst 1b) - Inspektorský zákaz pro neověřená MĚŘIDLA
